,0
107,3686.6791159783224
108,4022.421348974627
109,4442.645378848854
110,4519.1160225685035
111,4382.577420608914
112,4199.795045469635
113,4340.048754512207
114,3877.5479001722906
115,4268.617284500882
116,3900.282884575312
117,4512.802188911703
118,3938.9497839994374
119,4020.3393268073696
120,4001.9551962084242
121,3987.3939705329103
122,3762.414885271326
123,4215.355762806468
124,3897.586306295645
125,4099.830814743259
126,4169.736511506424
127,4595.239681243116
128,4553.7492485967505
129,4599.086574894639
130,4173.249575594695
131,4314.09244231055
132,3930.335084162345
133,3783.845910181673
134,3867.005854880536
135,3781.103824118715
136,3781.407049863842
137,4158.760908625712
138,3892.534001773942
139,3938.4362103065387
140,3804.855387219923
141,3924.668743848126
142,4205.751466722018
143,4362.5509762126085
144,3990.673248884579
145,4311.294048852931
146,4107.554926230695
147,4073.85990502979
148,3722.7357317075357
149,4010.6260200420693
150,4287.3497552243925
151,4191.720976540333
152,4189.897421711201
153,3926.140764313613
154,4182.853182591958
155,4435.08546889223
156,4433.309056362085
157,4477.714290217968
158,4152.9094575184845
159,4425.539085222086
160,4609.411276846842
161,4190.908997134838
162,4082.7742739749688
163,4016.877117736518
164,3872.6988920643334
165,4182.099132593868
166,4421.611639397415
167,4099.06622678488
168,4087.745075806788
169,4502.845085285715
170,4229.313991597406
171,4204.001815160273
172,4288.960606617887
173,3679.3401804480854
174,3912.5408531005396
175,3988.8611957963094
176,4201.689319142914
177,4093.7551661701746
178,4218.027220953708
179,3861.0535078080384
180,4255.488669780902
181,4157.495409702305
182,3695.4894207991674
183,3966.988882386567
184,4303.751996305644
185,3983.5981661378173
186,4195.9005915740445
187,4181.230719500078
188,4252.693911617531
189,4014.7483913455217
190,4128.925190272816
191,4145.9462542946985
192,4238.350368107749
193,4043.253454401983
194,4263.053154873428
195,3908.2176547977815
196,3853.5425905660177
197,4078.6875833124623
198,4229.496352884447
199,4296.539111231767
200,4384.084547860093
201,4476.383424092257
202,4299.645145602042
203,4135.583267674618
204,4079.870791670044
205,4525.961950742068
206,4082.121609409781
207,4133.50346381927
208,4513.202470326674
209,3981.487673000883
210,4208.921692059928
211,4181.208300405768
212,4015.855917847677
213,3924.87348411528
214,3817.119159938953
215,3951.5205309672647
216,3908.4497916084874
217,4233.100332335114
218,3928.971331127006
219,3810.7528151708993
220,3715.448479827121
221,4259.453190544715
222,4296.544456350338
223,4466.02793089624
224,4008.836080845673
225,3909.063040536448
226,4003.6157894107037
227,4133.145825621506
228,4102.520332523446
229,4299.176821885579
230,3825.6918475363973
231,3922.359685601588
232,3041.951465226251
233,4063.723639662917
234,4091.0709841473645
235,4021.5798637801013
236,3552.9109750156194
237,3984.7276536042336
238,3833.1874115620253
239,4054.645751573508
240,3934.3224638242273
241,4405.112465083322
242,4147.902324402781
243,4137.0424580656345
244,3908.8469366715008
245,4339.092215823921
246,3921.687277026891
247,3981.0101342646394
248,4182.322623861783
249,3769.2639461265876
250,3710.4532193173845
251,3959.548684190585
252,3889.5031162497176
253,3933.2426577576107
254,3685.303955994342
255,4090.0473934374163
256,4197.898960777047
257,4639.483525289968
258,4579.815619029443
259,4061.816072499236
260,3918.3864931967637
261,4175.023373121705
262,4032.8867954438183
263,4072.545239764202
264,3685.9585165033577
265,3825.3263475126114
266,3964.5760054541383
267,4028.1987478086744
268,4114.59051164795
269,3709.984052268812
270,3636.968819737407
271,3510.645506804988
272,3621.0048267258107
273,3754.059207445747
274,3663.4582198386383
275,3850.0537192966394
276,4375.723810287342
277,3857.5589629894494
278,3835.9252765037418
279,4047.5345281018745
280,4268.405209792507
281,4242.80325917335
282,4321.572163937251
283,4248.59524746563
284,3982.4105724860756
285,3806.981683431528
286,3719.9238996711438
287,3740.783268114189
288,3868.4593270030527
289,3606.508765074397
290,3469.6841836786807
291,4002.397116501037
292,3838.989660011293
293,4089.4275648037947
294,4170.764677246205
295,3827.003475290962
296,4387.7538717756415
297,4172.340046761978
298,3651.7797545896588
299,3731.2226576012717
300,3960.2817951992693
301,4062.7891746045925
302,4106.14223197574
303,3664.443566039294
304,3873.5797674992855
305,4121.215065158969
306,3680.663852910965
307,4383.793999089368
308,3681.7491623358337
309,4005.7904279304294
310,4033.826768358449
311,4265.56621308057
312,3935.831883246643
313,3906.816118192074
314,3834.4271407616507
315,3808.026584958707
316,3774.249451967584
317,3660.9134679939607
318,3654.4903582616844
319,3820.8856041325107
320,3712.3694495477816
321,3871.4513396826906
322,3448.177117162812
323,3670.151351199669
324,3763.5527845637207
325,3463.6972945748657
326,3746.624934955437
327,3717.9273187480867
328,3581.8074094382423
329,4153.328222816852
330,3668.0999813340914
331,4144.804358442956
332,4379.7496166503815
333,4151.151661934844
334,3803.724862190082
335,3806.492069733282
336,3910.7238662529317
337,4222.529986566935
338,4052.75008459955
339,4270.748069986799
340,4000.6367435857587
341,4138.449693874446
342,4153.798867711454
343,4360.390770089273
344,4575.660837848892
345,4498.99987056523
346,3863.415314800147
347,4326.545951068432
348,4012.952050601153
349,3757.051216995469
350,4288.048325709735
351,3825.9933640305812
352,4079.996099691292
353,4204.024391915083
354,4076.915289981877
355,4523.445555556375
356,4480.917436807109
357,4235.56330266289
358,4213.576662233261
359,4275.405819573057
360,4281.19617692371
361,4196.845815973476
362,4520.081203066434
363,3789.611310331838
364,3844.2145985113357
365,4023.7501916469646
366,4056.5700830319847
367,3905.404405695019
368,3497.6874435364252
369,4035.6418093715765
370,4526.424741131864
371,4204.620804034448
372,4139.2061122843625
373,4324.921633737591
374,4460.259142878871
375,4142.880845198625
376,4206.178186125804
377,4383.600207896236
378,3938.9284443964043
379,4198.456862116994
